Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant10_1_Z-Stack,1.0,235.254,568.816,271.919,2.0919
,2.0,199.548,541.537,222.364,2.4354
,3.0,225.221,550.570,252.031,2.1845
,4.0,243.294,494.501,253.688,1.9492
,5.0,217.597,606.925,245.601,2.4712
,6.0,255.484,572.582,293.786,1.9490
,7.0,214.885,521.071,235.415,2.2134
,8.0,228.958,459.569,249.258,1.8437
PIN3_WT_plant10_2_Z-Stack,1.0,241.035,549.008,259.855,2.1127
,2.0,247.826,619.864,286.519,2.1634
,3.0,268.816,666.408,311.877,2.1368
,4.0,281.958,715.781,323.148,2.2150
,5.0,250.184,669.945,287.732,2.3284
,6.0,255.210,656.760,295.023,2.2261
,7.0,275.302,649.566,307.358,2.1134
,8.0,245.014,668.010,286.353,2.3328
,9.0,250.820,650.817,288.446,2.2563
,10.0,275.775,639.107,304.054,2.1020
PIN3_WT_plant11_1_Z-Stack,1.0,233.505,798.215,295.437,2.7018
,2.0,311.519,721.360,385.324,1.8721
,3.0,248.520,727.891,327.630,2.2217
,4.0,247.743,705.240,310.211,2.2734
,5.0,275.406,749.054,348.644,2.1485
,6.0,286.345,706.361,355.144,1.9889
,7.0,245.783,656.789,297.914,2.2046
,8.0,262.414,734.453,323.048,2.2735
,9.0,224.761,673.281,271.553,2.4794
,10.0,238.716,631.325,281.503,2.2427
,11.0,269.293,762.332,344.458,2.2131
,12.0,256.241,612.590,308.118,1.9882
PIN3_WT_plant11_2_Z-Stack,1.0,294.881,819.422,381.038,2.1505
,2.0,325.059,857.250,402.606,2.1293
,3.0,284.300,788.864,365.735,2.1569
,4.0,308.773,786.238,383.933,2.0479
,5.0,300.727,838.024,357.654,2.3431
,6.0,279.245,722.368,348.398,2.0734
,7.0,263.926,738.738,323.769,2.2817
PIN3_WT_plant12_1_Z-Stack,1.0,224.079,530.729,246.898,2.1496
,2.0,230.639,512.022,245.268,2.0876
,3.0,217.471,552.837,236.216,2.3404
,4.0,218.062,685.014,254.704,2.6895
,5.0,214.677,571.068,237.812,2.4013
,6.0,206.022,491.478,220.031,2.2337
,7.0,239.517,542.050,255.980,2.1175
,8.0,221.385,563.545,251.008,2.2451
,9.0,219.897,581.087,246.242,2.3598
PIN3_WT_plant12_2_Z-Stack,1.0,205.395,528.437,228.283,2.3148
,2.0,211.404,522.431,237.062,2.2038
,3.0,241.190,624.529,281.903,2.2154
,4.0,211.482,543.386,231.810,2.3441
,5.0,239.152,608.489,280.183,2.1718
,6.0,215.241,569.375,239.586,2.3765
,7.0,211.560,498.610,229.922,2.1686
,8.0,239.874,584.239,265.868,2.1975
,9.0,247.288,652.081,278.789,2.3390
,10.0,257.340,630.235,290.788,2.1673
,11.0,208.263,545.662,232.351,2.3484
,12.0,246.816,633.400,282.558,2.2417
,13.0,217.493,528.319,240.703,2.1949
PIN3_WT_plant14_1_Z-Stack,1.0,226.907,532.345,245.485,2.1685
,2.0,221.252,482.419,236.986,2.0356
,3.0,241.180,609.739,266.087,2.2915
,4.0,239.696,620.846,266.839,2.3267
,5.0,210.570,527.308,225.609,2.3373
,6.0,254.823,675.860,304.733,2.2179
,7.0,221.677,564.333,241.484,2.3369
,8.0,210.208,512.067,223.036,2.2959
PIN3_WT_plant14_2_Z-Stack,1.0,218.819,552.436,245.486,2.2504
,2.0,223.036,642.537,252.418,2.5455
,3.0,228.405,641.169,257.044,2.4944
,4.0,194.118,489.005,209.042,2.3393
,5.0,221.070,546.259,245.101,2.2287
,6.0,221.770,538.275,239.448,2.2480
,7.0,231.373,532.956,250.808,2.1250
,8.0,230.212,558.588,250.243,2.2322
,9.0,232.335,559.024,262.871,2.1266
,10.0,232.321,502.248,244.757,2.0520
PIN3_WT_plant1_2_Z-Stack,1.0,161.431,690.325,265.091,2.6041
,2.0,185.414,600.905,283.359,2.1206
,3.0,169.223,613.015,268.275,2.2850
,4.0,168.658,665.426,273.896,2.4295
,5.0,157.253,740.924,278.321,2.6621
,6.0,161.696,744.850,272.861,2.7298
,7.0,187.390,689.307,298.206,2.3115
,8.0,165.185,631.625,265.607,2.3780
PIN3_WT_plant2_1_Z-Stack,1.0,163.017,617.095,252.201,2.4468
,2.0,187.912,672.235,280.908,2.3931
,3.0,167.811,606.289,258.230,2.3479
,4.0,188.355,732.532,285.209,2.5684
,5.0,191.935,656.450,293.510,2.2366
,6.0,189.280,577.956,281.200,2.0553
,7.0,174.401,576.331,254.466,2.2649
,8.0,171.039,671.058,271.176,2.4746
,9.0,163.119,606.026,249.912,2.4250
PIN3_WT_plant2_2_Z-Stack,1.0,179.597,741.768,270.809,2.7391
,2.0,179.597,701.179,272.719,2.5711
,3.0,176.012,657.602,256.432,2.5644
,4.0,195.435,573.766,281.461,2.0385
,5.0,175.822,543.320,253.339,2.1446
,6.0,210.370,797.822,318.658,2.5037
,7.0,158.176,603.528,241.565,2.4984
,8.0,184.746,612.137,269.023,2.2754
,9.0,228.983,684.028,324.354,2.1089
,10.0,193.348,561.939,272.420,2.0628
,11.0,171.891,684.468,265.457,2.5785
,12.0,175.884,534.115,254.607,2.0978
PIN3_WT_plant4_1_Z-Stack,1.0,232.976,857.829,381.324,2.2496
,2.0,227.743,712.698,349.897,2.0369
,3.0,196.416,716.081,295.519,2.4231
,4.0,205.746,760.448,317.598,2.3944
,5.0,192.540,814.653,310.952,2.6199
,6.0,211.141,759.413,320.643,2.3684
,7.0,171.643,639.041,254.376,2.5122
PIN3_WT_plant4_2_Z-Stack,1.0,221.309,733.068,320.933,2.2842
,2.0,237.763,822.721,362.628,2.2688
,3.0,202.903,653.741,286.768,2.2797
,4.0,216.920,823.765,331.195,2.4873
,5.0,246.981,742.764,358.599,2.0713
,6.0,251.620,734.998,361.587,2.0327
,7.0,226.244,702.375,310.702,2.2606
,8.0,257.784,874.045,374.570,2.3335
,9.0,218.806,704.470,328.181,2.1466
,10.0,224.159,850.202,343.530,2.4749
,11.0,214.751,733.589,313.086,2.3431
,12.0,201.930,705.885,294.678,2.3954
,13.0,186.341,742.435,281.362,2.6387
,14.0,210.761,776.414,319.292,2.4317
,15.0,232.205,715.733,348.333,2.0547
,16.0,217.265,698.327,321.541,2.1718
PIN3_WT_plant6_1_Z-Stack,1.0,214.854,545.169,247.455,2.2031
,2.0,219.021,508.610,252.235,2.0164
,3.0,213.583,530.955,241.046,2.2027
,4.0,233.637,725.830,278.485,2.6064
,5.0,246.089,659.394,279.812,2.3566
,6.0,251.660,638.680,284.350,2.2461
,7.0,257.996,730.632,297.468,2.4562
,8.0,248.177,828.050,292.632,2.8297
,9.0,240.210,647.344,284.046,2.2790
,10.0,230.902,741.977,280.645,2.6438
,11.0,232.112,772.033,283.242,2.7257
,12.0,271.947,702.983,319.783,2.1983
PIN3_WT_plant6_2_Z-Stack,1.0,245.932,746.869,302.707,2.4673
,2.0,267.246,854.043,352.186,2.4250
,3.0,257.405,752.430,318.833,2.3600
,4.0,255.283,762.290,309.098,2.4662
,5.0,283.072,873.323,353.609,2.4697
,6.0,271.858,777.928,323.083,2.4078
,7.0,284.890,1000.065,349.980,2.8575
,8.0,252.006,766.176,312.417,2.4524
,9.0,270.935,880.325,344.078,2.5585
PIN3_WT_plant8_2_Z-Stack,1.0,252.627,689.766,314.161,2.1956
,2.0,241.628,721.940,313.514,2.3027
,3.0,277.894,735.361,342.362,2.1479
,4.0,269.282,696.983,329.503,2.1153
,5.0,265.449,658.190,319.653,2.0591
,6.0,249.506,713.353,317.091,2.2497
,7.0,286.728,764.462,356.810,2.1425
,8.0,259.177,753.268,322.960,2.3324
,9.0,265.944,736.222,328.880,2.2386
,10.0,277.992,830.114,341.311,2.4321
,11.0,263.494,739.604,328.732,2.2499
PIN3_WT_plant9_1_Z-Stack,1.0,278.335,683.823,345.488,1.9793
,2.0,241.077,679.844,310.229,2.1914
,3.0,220.728,680.480,288.076,2.3622
,4.0,222.430,636.279,272.455,2.3354
,5.0,218.602,653.000,275.313,2.3718
,6.0,249.403,729.829,332.521,2.1948
,7.0,252.208,599.700,308.162,1.9461
,8.0,223.262,675.878,280.796,2.4070
,9.0,222.651,636.829,281.179,2.2649
,10.0,229.623,592.087,281.844,2.1008
,11.0,236.031,707.631,301.080,2.3503
PIN3_WT_plant9_2_Z-Stack,1.0,242.528,571.953,285.667,2.0022
,2.0,231.002,647.360,285.847,2.2647
,3.0,251.282,706.862,320.215,2.2075
,4.0,261.704,630.853,332.997,1.8945
,5.0,245.541,625.550,289.188,2.1631
,6.0,232.317,726.532,295.498,2.4587
,7.0,221.932,671.222,285.695,2.3494
,8.0,249.321,661.524,314.125,2.1059
,9.0,256.661,826.876,336.446,2.4577
,10.0,246.836,720.594,319.584,2.2548
,11.0,219.699,624.729,275.680,2.2661
